author,regions
Babinszky Mihály,1
Baghy Julio,1
Balla Károly,1
Balla Zsófia,1
Balogh József,1
Barna István,1
Bencsik Imre,1
Benedek Elek; Illyés Gyula,1
Beney Zsuzsa,1
Berki János,1
Bernáth Zsigmond,1
Bolya Pétra,1
Bondarev Jurij Vasil'evič,1
Bozóky Éva,1
BÁLINT György,1
BÁLINT Tibor,1
BÁRDOS László,1
BÖLÖNI FARKAS Sándor,1
Büki Attila,1
CSAPÓ György,1
CSIKI László,1
CSILLIK Gábor,1
CSOKONAI VITÉZ Mihály,1
CSOÓRI Sándor,1
CSUKA Edit,1
CSÖRSZ István,1
Cs. Horváth Tibor,1
Csalog Zsolt,1
Cselényi László,1
Csenki Sándor,1
Czako Gábor,1
DETREHEMY József,1
DOBAI Péter,1
Dargay Attila; Horváth Tibor Cs.,1
Dehel Gabor,1
Deák Tamas,1
Dobner Béla; Palotay Sándor,1
Domokos Mátyás,1
Donászy Magda,1
Dráveczky Zsuzsa,1
Dávid Teréz,1
Dévényi Tibor,1
ERDŐS László,1
Elek Judit,1
Ember Mária,1
EÖRSI István,1
FALUDY György,1
FARKAS Árpád,1
FENÁKEL Judit,1
FODOR József,1
Falus György,1
"Falus György, József Gábor",1
Falus György; József Gábor,1
Falus György; József Gábor; Nemere István,1
Faragó Janő,1
Fekete Gyula; Sánta Ferenc; Sarkadi Imre,1
Ferencz Zsuzsanna,1
Fodor Sándor,1
FÁBIÁN Zoltán,1
FÁY András,1
FÖLDI Lajos,1
Féner Tamás; Scheiber Sándor,1
Fésüs Éva,1
Fésűs Éva,1
GERGELY Mihály,1
GERGELY Ágnes,1
GION Nándor,1
GRENDEL Lajos,1
GYURKOVICS Tibor,1
GYURKÓ László,1
GYŐRI M.,1
GYŐRY Dezső,1
Gherasim Emil,1
Gross Arnold,1
Gyöngyössy Imre; Kabay Barna,1
Györffi Kálmán,1
GÁL László,1
GÖRGEY Gábor,1
Gál György Sándor; Somogyi Vilmos,1
HAJNAL Gábor,1
HOLLÓS KORVIN Lajos,1
HORVÁTH Imre,1
HORVÁTH István,1
HORVÁTH Zoltán Géza,1
HORVÁTH Zsóka,1
HUNYADY Sándor,1
HUSZÁR Sándor,1
Hangya János,1
Hegedüs Bite Daniel,1
Horgas Béla; Levendel Júlia,1
Horváth Mária P.,1
Horváth Tibor Cs.,1
Horváth Tibor Cs.; Zórád Ernö,1
Hryc-Duda Ivan,1
Hámori Tibor,1
Hédervári Péter,1
ILLÉS Sándor,1
István Major,1
JANUS PANNONIUS,1
JUST Béla,1
Jarunková Klára,1
Joó Katalin,1
Juhász István,1
JÉKELY Zoltán,1
JÓZSEF Attila; Majakovskij Vladimir Vladimirovič,1
JÓZSEF Jolán,1
KALOCSAY Kálmán,1
KALÁSZ Márton,1
KARDOS G. György,1
KARINTHY Frigyes−MAJOROS István,1
KASSAI Ferenc,1
KEMÉNY Zsigmond,1
KERTÉSZ Erzsébet,1
KIRÁLY László,1
KISS Dénes,1
KISS Jenő,1
KOMLÓS Aladár,1
KORCSMÁROS Pál,1
KORMOS Gyula,1
KORMOS István,1
KOSSA István,1
KOVAI Lőrinc,1
KOVÁCS Vilmos,1
KUNCZ Aladár,1
Kalman Vera,1
Kaptay József,1
Kardos Gyula,1
Kelemen János; Vajda Zoltán,1
Keményi János,1
Kiss János,1
Kiss József László,1
Krupa András,1
Kunos Ignác,1
KÁLMÁN Sándor,1
KÁNYÁDI Sándor,1
KÁROLY Sándor,1
KÖLCSEY Ferenc,1
KÖRMENDI Ferenc,1
Kézdi A.,1
LESTYÁN Sándor,1
LIGETI Hertha,1
Lux Alfred,1
LÁSZLÓ Anna,1
LÁSZLÓFFY Aladár,1
LÉTAY Lajos,1
Lányi Piroška H.,1
László Lajos,1
László-Bencsik Sándor,1
Lőrincz László,1
MADARÁSZ Emil,1
MAGYAR NÉPKÖLTÉSZET-PRÓZA,1
MAGYAR NÉPKÖLTÉSZET-VERS,1
MAJTÉNYI Erik,1
MAROSI Gyula,1
MIKES Kelemen,1
MOLDOVÁN Domokos,1
MOLTER Károly,1
MORVAY Gyula,1
MOSONYI Aliz,1
Majdán J.,1
Mester Zsolt,1
MÉHES György,1
MÉLIUSZ József,1
MÉSZÖLY Dezső,1
MÓRICZ Virág−THURZÓ Gábor,1
MÓRICZ Zsigmond−THURZÓ Gábor,1
MÜNNICH Ferenc,1
Mózes Attila,1
NEMES László,1
NYISZLI Miklós,1
NÁDAS Péter,1
Nádor Tamás,1
ORTUTAY Gyula,1
Ormay Imre,1
Ország Mihály,1
Osztojkán Béla,1
PALÁSTI László,1
PAPP Ferenc,1
PERLAKY Lajos,1
PILINSZKY János,1
PINTÉR István−SZABÓ László,1
POGONYI Antal,1
Panek Zoltán,1
Pap László,1
Petroci Bálint,1
Pintér Lidia,1
Pongrácz Mária,1
Prónay Pálma,1
PÁLYI András,1
PÁNDI Marianne,1
Pál Miklós,1
REMÉNYI Béla,1
Ratzky Rita,1
Rubin Szilárd,1
RÉVAY József,1
Rácz Olivér,1
Rózsa József,1
SALAMON Ernő,1
SEBŐK Ferenc,1
SEBŐK Éva,1
SOLTÉSZ Gáspár,1
SOMLYÓ György,1
SZABÉDI László,1
SZABÓ Béla,1
SZABÓ Gyula,1
SZABÓ István,1
SZABÓ Miklós,1
SZABÓ Pál−BALÁZS Sándor,1
SZATHMÁRI Sándor,1
SZENCZEI László,1
SZENES Béla,1
SZENTIVÁNYI Jenő,1
SZIGLIGETI Ede,1
SZILÁGYI Dezső,1
SZILÁGYI Domokos,1
SZILÁGYI Ferenc,1
SZINI Gyula,1
SZINNYEI Júlia,1
SZIRÁKY Judit,1
SZOMBATHY Viktor,1
Sebek Ferenc,1
Soltész József,1
Szécsi Katalin,1
Székely Júlia; Tolstoj Lev Nikolaevič,1
SÁNDOR András,1
SÁSDI Sándor,1
TABI László,1
TABÉRY Géza,1
TAMKÓ SIRATÓ Károly,1
TANDORI Dezső,1
TIMÁR Máté,1
TOLLAS A. Júlia,1
TOLNAI Lajos,1
"TOLNAY Lajos, GÁBOR Andor",1
TRENCSÉNYI WALDAPFEL Imre,1
Tasnádi Kubacska András,1
Thies Vera,1
Tiszai Erzsébet,1
Tordon Ákos,1
Turián György,1
Turán Róbert B.,1
TÁNCSICS Mihály,1
TÓTH Kálmán,1
TÖRÖK Sándor,1
TÖRÖK Tamás,1
Tóth Käroly,1
Tóth Mária,1
Tőzsér Árpád,1
Ujhelyi János,1
VARGA Imre,1
VASZARY Gábor,1
VERESS Zoltán,1
VIDOR Katalin,1
Valton Arvo,1
Varró János,1
Vas Zoltán,1
Vasarhelyi Geza,1
Vigh Jenő,1
Vágvölgyi Éva,1
Vámbéry Ármin,1
Végh Antal,1
ZELK Zoltán,1
ZILAHY Lajos,1
ZOLNAY Gábor,1
Zolnay Vilmos,1
Zrinszky László,1
Zsombolyai János,1
ÁBEL Péter−PRUKNER Pál,1
ÁCS Kató,1
ÁRKUS József,1
Ákos Károly,1
Árkus István,1
Ördögh Szilvester,1
ÚJVÁRI Imre László,1
